city,station_name,address,fuel_code,price,date
Новоульяновск,Роснефть РН-Карт,"ул. Ульяновская, Новоульяновск, Ульяновская обл., Россия, 433300",AI92,59.14,2025-12-07 22:31:15.080881
Новоульяновск,Роснефть РН-Карт,"ул. Ульяновская, Новоульяновск, Ульяновская обл., Россия, 433300",AI95,66.39,2025-12-07 22:31:15.080881
Новоульяновск,Роснефть РН-Карт,"ул. Ульяновская, Новоульяновск, Ульяновская обл., Россия, 433300",DIESEL,71.03,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"пр-т. Созидателей, 104, Ульяновск, Ульяновская обл., Россия, 432072",AI92,59.15,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"пр-т. Созидателей, 104, Ульяновск, Ульяновская обл., Россия, 432072",AI95,63.9,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"пр-т. Созидателей, 104, Ульяновск, Ульяновская обл., Россия, 432072",DIESEL,71.05,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Карла Маркса, 123, Ульяновск, Ульяновская обл., Россия, 432000",AI92,59.15,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Карла Маркса, 123, Ульяновск, Ульяновская обл., Россия, 432000",AI95,63.9,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Карла Маркса, 123, Ульяновск, Ульяновская обл., Россия, 432000",DIESEL,71.05,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Р178, Чердаклы, Ульяновская обл., Россия, 433400",AI92,59.15,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Р178, Чердаклы, Ульяновская обл., Россия, 433400",AI95,63.9,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Р178, Чердаклы, Ульяновская обл., Россия, 433400",DIESEL,71.05,2025-12-07 22:31:15.080881
Старая Малыкла,ООО АССОЦИАЦИЯ «Л-КАРД,"Ульяновская обл., Новомалыклинский р-он, с. Новая Малыкла, ул. Кооперативная, 122 А, АЗС №3",DIESEL,70.99,2025-12-07 22:31:15.080881
